TexturePath,Status,SourceArt,OutputWidth,OutputHeight,ChangedPixelsOf1024,StructuralEdgeDeltaOf1024,AuthoredFeatures,Method
textures/block/crushing_wheel_plates.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/crushing_wheel_plates_generated_source.png,16,16,254,95,raised replaceable crushing bars; deep compression channels; chipped bite edge; lower retaining band; restrained olive staining,"Built-in integrated image generation produced a repeatable outer-jaw material atlas; progressively reduced through 512/256/128/64/32/16px stages; three native-scale edge treatments reviewed; crisp candidate selected"
textures/block/fan_side.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/fan_side_generated_source.png,16,16,256,91,heavy forged perimeter; inset dark timber panels; broad restraint straps; olive service spine; damaged corner brackets,"Built-in integrated image generation used the native housing concept plus completed Last Days/Create textures; progressively reduced through 512/256/128/64/32/16px stages; three native-scale treatments reviewed; crisp candidate selected"
textures/block/fan_casing.png,AuthoredLastDaysGeneratedMaskedCutout,ROOT_tools/create_authored_sources/fan_casing_generated_source.png,16,16,254,123,octagonal intake collar; diagonal attachment braces; central bearing cross; battered inner lip; welded seams; olive wear,"Built-in integrated image generation produced a fully painted guard atlas aligned to the native ring-and-cross layout; progressive reduction through 512/256/128/64/32/16px; exact native binary alpha mask reapplied; three candidates reviewed; crisp selected"
textures/block/fan_blades.png,AuthoredLastDaysGeneratedMaskedCutout,ROOT_tools/create_authored_sources/fan_blades_generated_source.png,16,16,256,69,four broad forged paddles; compact bearing hub; worn leading edges; strengthened roots; chipped blade; olive repair band,"Built-in integrated image generation produced a fully painted four-paddle rotor source; progressive reduction through 512/256/128/64/32/16px; exact native binary alpha mask reapplied; three candidates reviewed; crisp selected"
textures/block/andesite_casing_piston.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/andesite_casing_piston_generated_source.png,16,16,256,114,twin forged load rails; recessed actuator channel; sliding central carriage; end stops; timber backing; olive maintenance strip,"Built-in integrated image generation concentrated structural detail in the Deployer model's active middle UV band; progressively reduced through 512/256/128/64/32/16px; three native-scale treatments reviewed; crisp candidate selected"
textures/block/piston_bottom.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/piston_bottom_generated_source.png,16,16,256,146,square working frame; nested ram collars; dark central aperture; guide lips; repaired quadrant; corner load plates,"Built-in integrated image generation used the authored Deployer rail and press underside as structural references; progressively reduced through 512/256/128/64/32/16px; three native-scale treatments reviewed; crisp candidate selected"
textures/block/piston_inner.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/piston_inner_generated_source.png,16,16,256,118,bright vertical sliding guide; dark lubricated channels; retaining carriage; lower bearing block; timber side backing; repair plate,"Built-in integrated image generation produced a recessed actuator-throat master aligned to the model's central UV region; progressively reduced through 512/256/128/64/32/16px; three native-scale treatments reviewed; crisp candidate selected"
textures/block/deployer.png,AuthoredLastDaysGeneratedMaskedCutout,ROOT_tools/create_authored_sources/deployer_generated_source.png,64,64,3738,1512,forged prosthetic palm armor; oxidized finger plates; knuckle caps; joint recesses; gripping edges; olive repaired segment,"Built-in integrated image generation produced a component-skin atlas rather than a whole-hand illustration; raised to 64px after both native 16px and initial 32px review showed insufficient separation in the tiny finger UV islands; Create's exact native L-shaped alpha footprint scaled 4:1 and reapplied; three 64px candidates reviewed; crisp selected"
textures/block/crafter_side.png,AuthoredLastDaysGeneratedMaskedCutout,ROOT_tools/create_authored_sources/crafter_side_generated_source.png,64,64,4020,1835,forged upper and lower load rails; timber infill bays; open transfer slot; reinforced side posts; repaired lower service panel; olive routing marks,"Built-in integrated image generation produced a fully painted rectangular load-frame master; raised directly to 64px to retain authored rail seams timber divisions damage and service markings; Create's exact native central-opening alpha mask scaled 4:1 and reapplied; three 64px candidates reviewed; crisp selected"
textures/block/crafter_thingies.png,AuthoredLastDaysGeneratedMaskedCutout,ROOT_tools/create_authored_sources/crafter_thingies_generated_source.png,64,64,4091,1208,nested crafting hatch and latch; three armored routing chevrons; cleated transfer belt; forged component rims; dirty olive direction fields,"Built-in integrated image generation produced one zone-aligned component atlas for the hatch arrow and animated belt; raised directly to 64px so micro-UV regions retain structure; Create's exact native component alpha footprint scaled 4:1 and reapplied; three 64px candidates reviewed; crisp selected"
textures/block/brass_casing.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/brass_casing_generated_source.png,64,64,4096,1768,forged load frame; timber/composite backing; embedded oxidized brass current rails; junction shoes; central service enclosure; verdigris contacts; welded repair,"Built-in integrated image generation used the completed 64px Crafter atlases plus Last Days authority blocks; reduced through 512/256/128/64px stages; three 64px treatments reviewed; crisp selected; standard Crafter faces now use this authored shared casing"
textures/block/brass_block.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/brass_block_generated_source.png,64,64,4096,1430,interlocking pressed brass slabs; casting seams; rolling scars; verdigris pockets; stitched crack; dark replacement plate; worn alloy edges,"Built-in integrated image generation produced a repeatable raw-alloy material master coordinated with the authored brass casing; reduced through 512/256/128/64px stages; three 64px treatments reviewed; crisp selected"
textures/block/brass_casing_connected.png,AuthoredLastDaysGeneratedCTMAssembly,ROOT_tools/create_authored_sources/brass_casing_connected_backing_generated_source.png,512,512,192512,37473,47 connected-state tiles; 17 preserved blank tiles; generated dark plate/timber backing; authored alloy connection rails; exact scaled alpha topology,"Built-in integrated image generation produced the seamless backing material; authored brass_block supplied rail material; native 8x8 sheet used only for connection topology luminance and exact alpha masks; assembled as 64px tiles into a 512px atlas; alpha verified byte-identical to native scaled 4:1"
textures/block/millstone.png,AuthoredLastDaysGeneratedMaskedAtlas,ROOT_tools/create_authored_sources/millstone_generated_source.png,128,128,16305,6621,radial fractured grinding sectors; bearing aperture; trapped grit and dust; repaired feed cap; rotor/collar strips; reinforced masonry skirt; olive service marking,"Built-in integrated image generation produced one zone-aligned millstone atlas covering grinding face cap internal rotor strips and outer housing; raised to 128px after 64px review still compressed grinding wedges grit channels and rotor components; native 32px alpha topology scaled exactly 4:1 and reapplied; three 128px candidates reviewed; crisp selected"
textures/block/cogwheel.png,AuthoredLastDaysGeneratedMaskedAtlas,ROOT_tools/create_authored_sources/cogwheel_generated_source.png,128,128,7696,2383,dual reinforced hub plates; laminated steel and composite gear body; replaceable tooth faces; oily rim channels; bolted tooth end-cap; restrained brass service fasteners,"Built-in integrated image generation produced dedicated cogwheel component art; generated hub and tooth materials were remapped into the exact 32px model UV islands at 4:1; native alpha topology scaled exactly to 128px and reapplied; three atlas assemblies reviewed; candidate B selected"
textures/block/large_cogwheel.png,AuthoredLastDaysGeneratedMaskedAtlas,ROOT_tools/create_authored_sources/large_cogwheel_generated_source.png,128,128,15809,5497,multi-ring load-bearing hub; segmented replaceable tooth shoes; gusseted face plates; heavy rim walls; recessed oily seams; sparse brass service bolts,"Built-in integrated image generation produced a separate heavy cogwheel master rather than enlarging the small gear; component crops were remapped into the exact large-cog model UV regions at 4:1; native alpha topology scaled exactly to 128px and reapplied; three hub treatments reviewed; candidate B selected"
textures/block/cogwheel_axis.png,AuthoredLastDaysGeneratedMaskedCutout,ROOT_tools/create_authored_sources/cogwheel_axis_generated_source.png,128,128,4096,1413,longitudinal forged shaft ribs; collar bands; oily recessed channels; worn load edges; muted brass collar fasteners,"Built-in integrated image generation produced a dedicated vertically repeatable drive-shaft surface coordinated with both authored cogwheels; cropped and reduced into the exact central shaft UV strip; native 16px alpha footprint scaled 8:1 and reapplied; three strip widths reviewed; candidate B selected"
textures/block/andesite_encased_cogwheel_side.png,AuthoredLastDaysGeneratedMaskedCutout,ROOT_tools/create_authored_sources/andesite_encased_cogwheel_side_generated_source.png,128,128,15751,6382,chipped cast-andesite armor; layered steel reinforcement; bolted corner shoes; central protected gear channel; oily tooth recess; worn structural bevels,"Built-in integrated image generation produced a complete Last Days gearbox housing face aligned around the functional central inspection channel; progressively reduced through 512 and 256px to 128px; exact native opening alpha topology scaled 8:1 and reapplied; three edge treatments reviewed; crisp selected"
